date_id,date,year,quarter,month_num,month_name,year_month,week_num,day_of_week_num,day_of_week_name,is_weekend
20170826,2017-08-26,2017,3,8,August,2017-08,34,6,Saturday,1
20170827,2017-08-27,2017,3,8,August,2017-08,34,7,Sunday,1
20170828,2017-08-28,2017,3,8,August,2017-08,35,1,Monday,0
20170829,2017-08-29,2017,3,8,August,2017-08,35,2,Tuesday,0
20170830,2017-08-30,2017,3,8,August,2017-08,35,3,Wednesday,0
20170831,2017-08-31,2017,3,8,August,2017-08,35,4,Thursday,0
20170901,2017-09-01,2017,3,9,September,2017-09,35,5,Friday,0
20170902,2017-09-02,2017,3,9,September,2017-09,35,6,Saturday,1
20170903,2017-09-03,2017,3,9,September,2017-09,35,7,Sunday,1
20170904,2017-09-04,2017,3,9,September,2017-09,36,1,Monday,0
20170905,2017-09-05,2017,3,9,September,2017-09,36,2,Tuesday,0
20170906,2017-09-06,2017,3,9,September,2017-09,36,3,Wednesday,0
20170907,2017-09-07,2017,3,9,September,2017-09,36,4,Thursday,0
20170908,2017-09-08,2017,3,9,September,2017-09,36,5,Friday,0
20170909,2017-09-09,2017,3,9,September,2017-09,36,6,Saturday,1
20170910,2017-09-10,2017,3,9,September,2017-09,36,7,Sunday,1
20170911,2017-09-11,2017,3,9,September,2017-09,37,1,Monday,0
20170912,2017-09-12,2017,3,9,September,2017-09,37,2,Tuesday,0
20170913,2017-09-13,2017,3,9,September,2017-09,37,3,Wednesday,0
20170914,2017-09-14,2017,3,9,September,2017-09,37,4,Thursday,0
20170915,2017-09-15,2017,3,9,September,2017-09,37,5,Friday,0
20170916,2017-09-16,2017,3,9,September,2017-09,37,6,Saturday,1
20170917,2017-09-17,2017,3,9,September,2017-09,37,7,Sunday,1
20170918,2017-09-18,2017,3,9,September,2017-09,38,1,Monday,0
20170919,2017-09-19,2017,3,9,September,2017-09,38,2,Tuesday,0
20170920,2017-09-20,2017,3,9,September,2017-09,38,3,Wednesday,0
20170921,2017-09-21,2017,3,9,September,2017-09,38,4,Thursday,0
